# This file was produced by bcftools (1.10.2-128-gd1b74cd+htslib-1.10.2-137-g34ba6c7), the command line was:
# 	 bcftools gtcheck  all_strains_biallelic_SNPs_no_missing.recode.vcf.gz
# and the working directory was:
# 	 /Users/clairedubin/cocci/popgen/popgen_paper/isolate_and_pop_info
#
INFO	Time required to process one record .. 0.000013 seconds
# DC, discordance:
#     - query sample
#     - genotyped sample
#     - discordance (number of mismatches; smaller is better)
#     - negative log of HWE probability at matching sites (rare genotypes mataches are more informative, bigger is better)
#     - number of sites compared (bigger is better)
#DC	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]-log P(HWE)	[6]Number of sites compared
DC	Tucson_2	Tucson_1	3.177730e+05	1.571140e+06	262428
DC	Tucson_3	Tucson_1	2.865278e+05	1.583141e+06	262428
DC	Tucson_3	Tucson_2	3.196645e+05	1.575107e+06	262428
DC	Tucson_4	Tucson_1	2.864882e+05	1.583174e+06	262428
DC	Tucson_4	Tucson_2	3.196249e+05	1.575140e+06	262428
DC	Tucson_4	Tucson_3	9.210177e+01	1.653647e+06	262428
DC	Tucson_5	Tucson_1	2.849928e+05	1.570113e+06	262428
DC	Tucson_5	Tucson_2	3.241309e+05	1.560799e+06	262428
DC	Tucson_5	Tucson_3	3.048887e+05	1.570717e+06	262428
DC	Tucson_5	Tucson_4	3.048490e+05	1.570749e+06	262428
DC	Tucson_6	Tucson_1	3.034626e+05	1.574135e+06	262428
DC	Tucson_6	Tucson_2	2.736336e+05	1.579606e+06	262428
DC	Tucson_6	Tucson_3	3.051957e+05	1.578156e+06	262428
DC	Tucson_6	Tucson_4	3.051561e+05	1.578189e+06	262428
DC	Tucson_6	Tucson_5	3.120983e+05	1.563385e+06	262428
DC	Tucson_7	Tucson_1	3.450370e+05	1.559598e+06	262428
DC	Tucson_7	Tucson_2	2.768027e+05	1.573185e+06	262428
DC	Tucson_7	Tucson_3	3.382928e+05	1.565260e+06	262428
DC	Tucson_7	Tucson_4	3.382532e+05	1.565293e+06	262428
DC	Tucson_7	Tucson_5	3.479486e+05	1.550217e+06	262428
DC	Tucson_7	Tucson_6	2.962034e+05	1.569037e+06	262428
DC	Tucson_8	Tucson_1	2.572435e+05	1.583354e+06	262428
DC	Tucson_8	Tucson_2	3.224672e+05	1.569231e+06	262428
DC	Tucson_8	Tucson_3	2.824476e+05	1.583327e+06	262428
DC	Tucson_8	Tucson_4	2.824080e+05	1.583359e+06	262428
DC	Tucson_8	Tucson_5	2.847947e+05	1.569337e+06	262428
DC	Tucson_8	Tucson_6	3.003925e+05	1.573563e+06	262428
DC	Tucson_8	Tucson_7	3.460273e+05	1.558743e+06	262428
DC	Tucson_9	Tucson_1	2.853196e+05	1.574726e+06	262428
DC	Tucson_9	Tucson_2	3.305979e+05	1.564489e+06	262428
DC	Tucson_9	Tucson_3	3.053739e+05	1.575849e+06	262428
DC	Tucson_9	Tucson_4	3.053343e+05	1.575882e+06	262428
DC	Tucson_9	Tucson_5	3.009471e+05	1.563312e+06	262428
DC	Tucson_9	Tucson_6	3.158319e+05	1.567789e+06	262428
DC	Tucson_9	Tucson_7	3.582184e+05	1.553458e+06	262428
DC	Tucson_9	Tucson_8	2.858345e+05	1.573646e+06	262428
DC	Tucson_10	Tucson_1	2.822495e+05	1.571973e+06	262428
DC	Tucson_10	Tucson_2	3.332718e+05	1.560397e+06	262428
DC	Tucson_10	Tucson_3	3.122073e+05	1.570355e+06	262428
DC	Tucson_10	Tucson_4	3.121677e+05	1.570387e+06	262428
DC	Tucson_10	Tucson_5	3.205756e+05	1.555438e+06	262428
DC	Tucson_10	Tucson_6	3.068990e+05	1.565524e+06	262428
DC	Tucson_10	Tucson_7	3.540590e+05	1.550149e+06	262428
DC	Tucson_10	Tucson_8	2.819524e+05	1.571125e+06	262428
DC	Tucson_10	Tucson_9	3.112169e+05	1.562134e+06	262428
DC	Tucson_11	Tucson_1	3.118805e+05	1.566485e+06	262428
DC	Tucson_11	Tucson_2	3.359457e+05	1.560092e+06	262428
DC	Tucson_11	Tucson_3	3.089788e+05	1.571752e+06	262428
DC	Tucson_11	Tucson_4	3.089391e+05	1.571785e+06	262428
DC	Tucson_11	Tucson_5	3.095829e+05	1.558143e+06	262428
DC	Tucson_11	Tucson_6	3.173372e+05	1.563988e+06	262428
DC	Tucson_11	Tucson_7	3.532865e+05	1.550581e+06	262428
DC	Tucson_11	Tucson_8	3.132867e+05	1.565379e+06	262428
DC	Tucson_11	Tucson_9	2.905585e+05	1.567304e+06	262428
DC	Tucson_11	Tucson_10	3.170203e+05	1.557862e+06	262428
DC	Tucson_12	Tucson_1	2.662456e+05	1.580812e+06	262428
DC	Tucson_12	Tucson_2	3.268148e+05	1.567985e+06	262428
DC	Tucson_12	Tucson_3	2.806947e+05	1.583452e+06	262428
DC	Tucson_12	Tucson_4	2.806551e+05	1.583484e+06	262428
DC	Tucson_12	Tucson_5	2.664041e+05	1.572849e+06	262428
