"Table S1: SRA accesion number, isolate identifier, species and origin of isolation for each strain used for phylogenomics and population genetic analyses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRA accesion number,Isolate ID,Species,Country of isolation,Publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6830882,4545,Coccidioides posadasii,Venezuela,current publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6830881,4545-MICE,Coccidioides posadasii,Venezuela,current publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6830884,4542,Coccidioides posadasii,Venezuela,current publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6830883,34698,Coccidioides posadasii,Venezuela,current publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6830886,3796,Coccidioides posadasii,Venezuela,current publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6830885,2566,Coccidioides posadasii,Venezuela,current publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6830888,JTORRES,Coccidioides posadasii,Venezuela,current publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6830887,3490,Coccidioides posadasii,Mexico,current publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6830880,GT120,Coccidioides posadasii,USA,current publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR6830879,GT162,Coccidioides posadasii,USA,current publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468076,730332_Guatemala,Coccidioides posadasii,Guatemala,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468077,730333_Guatemala,Coccidioides posadasii,Guatemala,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468078,730334_Guatemala,Coccidioides posadasii,Guatemala,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468067,B0858_Guatemala,Coccidioides posadasii,Guatemala,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468068,B10757_Nevada,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468069,B10813_Texas,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468070,B1249_Guatemala,Coccidioides posadasii,Guatemala,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468072,B5773_Brazil,Coccidioides posadasii,Brazil,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468053,Coahuila_2,Coccidioides posadasii,Mexico,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468050,Colorado_Springs_1,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468075,GT002_Texas,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468074,GT017_Paraguay,Coccidioides posadasii,Paraguay,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468066,Michoacan_1,Coccidioides posadasii,Mexico,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468064,Nuevo_Leon_1,Coccidioides posadasii,Mexico,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468065,Nuevo_Leon_2,Coccidioides posadasii,Mexico,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468054,Phoenix_1,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
