,pi_AZ,pi_TXMXSA,DXY,PnPs
D8B26_000001,0.013426983724013459,,,0.9070399754375394
D8B26_000002,0.004110876203899465,,,0.4304336259642648
D8B26_000003,0.006430359796108455,,,0.5240329790403115
D8B26_000004,0.003481007098179766,,,0.27009317417553663
D8B26_000006,,,,0.6520127530520674
D8B26_000007,0.0001452432824981844,,,inf
D8B26_000008,0.0015893325167955152,,,0.3023671281821704
D8B26_000009,0.0012836836366248094,0.0021578421578421587,0.0020548079371608785,0.6876449210603335
D8B26_000010,0.0013186458465219585,0.0028256994722133254,0.0021836543391013557,0.4562760087747623
D8B26_000011,0.0035292685895095695,0.0037985855990268005,0.003887206580332023,3.8683382206552497
D8B26_000013,0.001341697350040232,0.001642225924924323,0.001649031390032268,0.36842621220113975
D8B26_000014,0.0022440205166438182,0.0016409583196586807,0.0020981989253362745,0.7320475883806661
D8B26_000015,0.0021366607248960233,0.0009481481481481482,0.0018274509803921568,
D8B26_000016,0.0004857266049353492,0.0007642799678197908,0.0007561954789961037,
D8B26_000017,,,,0.09456359180347298
D8B26_000018,0.0014736266407389573,0.0015151515151515143,0.0014559026089774752,0.6193391049870598
D8B26_000019,0.002458406668987647,0.002706678434833774,0.0025959192149940294,0.3379560109530419
D8B26_000020,0.001001475859160873,0.001498859563375692,0.0015597147950089127,0.4857849196538224
D8B26_000021,0.00489205783323429,0.003636363636363633,0.004755701814525344,0.17106019776524897
D8B26_000022,0.0012379905428033728,0.000595636959273323,0.001129958349209686,0.12653528289889662
D8B26_000023,0.0013013387725054671,0.002673312969611442,0.0023995612230906346,0.5582932476291173
D8B26_000024,0.0008854403318071194,0.00013203934772562225,0.0009126249033976831,0.5075921442793132
D8B26_000025,0.00023187397649377547,0.0,0.00011956001912960307,inf
D8B26_000026,0.000830203109869303,0.0006459054209919264,0.0008345206594748626,0.17178500947586126
D8B26_000027,0.0001742919389978215,0.0,8.714596949891067e-05,inf
D8B26_000028,0.0007096120668055507,0.00043811610076670293,0.0007073749543629062,0.3808470019869085
D8B26_000029,0.0011314073644292369,0.001263518578006211,0.0012980282221018162,0.542360997787381
D8B26_000030,0.0009293326514365355,0.001164851861230691,0.0014113774149821995,0.18517701098685782
D8B26_000031,0.0013429438019041322,0.000563777307963355,0.0011076047755254322,0.41745010793418436
D8B26_000032,0.00024058703235895623,0.0003718163227365682,0.000306201677547762,inf
D8B26_000033,0.0013498050855173826,0.00047872085786777744,0.0010165778217074565,0.13343762865373837
D8B26_000034,0.0012763803613476796,0.0004489337822671157,0.0010233049448735722,
D8B26_000035,0.0009005819622749275,0.0006335128286347799,0.0008167346761320936,
D8B26_000036,0.0003187710501109602,0.00015520117952896436,0.00023394295443704196,
D8B26_000037,0.0,0.0,0.0,inf
D8B26_000038,0.0011110844663996863,0.0005435521130588393,0.0008592919434386066,1.2632924632456903
D8B26_000039,,0.00015540015540015545,,1.2713835322662193
D8B26_000041,0.0008160031689443473,0.0011717171717171716,0.000956625074272133,0.4633905579398216
D8B26_000042,0.0029292799276066104,0.001060937603607188,0.0027986129801035194,0.19773584905657385
D8B26_000043,0.003309484856624265,0.003121627231216274,0.00466632481136913,1.8777805668109986
D8B26_000044,0.0017268511372890481,0.0016897600540723228,0.0017742480567759379,0.2789371174178868
D8B26_000046,0.0009301700478171039,0.0005411255411255411,0.0008276037687802393,0.0
D8B26_000047,0.005357707101997503,0.007097288676236045,0.006356736242884251,0.16610958577054005
D8B26_000048,0.0007366512876966876,0.0005233522581248108,0.0007119129981844844,0.2534171389865155
D8B26_000049,,,,0.9995012468826602
D8B26_000050,0.0007063431433179261,0.0006184291898577613,0.0006548073774964531,0.16989166036782172
D8B26_000051,0.0008281050430193522,,,1.5671920329806777
D8B26_000052,0.0025500099029510935,0.0011363636363636365,0.0018568033273915626,inf
D8B26_000053,0.0005556762298143601,0.0006095773987456772,0.000593889745101487,
D8B26_000054,0.0006613910677868009,0.0006493584552656283,0.0006586860644939573,0.4986321068315183
D8B26_000055,0.001306089214585952,0.000695847362514029,0.0011536938007526243,
D8B26_000056,0.00046453843245287295,0.00018365472910927453,0.0003132933614217037,0.6238711442979266
D8B26_000057,0.0009881422924901192,0.00160737812911726,0.001346586065256142,0.2000519066065394
D8B26_000058,0.0006076810889645116,0.0006121824303642485,0.0005964277354651687,
D8B26_000059,0.0011628373230682823,0.0007436326454731364,0.0009459444681386218,inf
D8B26_000060,0.0006649304084243097,0.0005483405483405486,0.0005941770647653001,2.2647157359592422
D8B26_000061,0.0010586606585412217,0.0006152899553914782,0.000800781780178615,0.0551487312629591
D8B26_000062,0.0012292646815308362,0.0,0.0006964534447658845,0.048058665836022356
D8B26_000063,0.002155189819381709,0.002471315092674317,0.002554384507554125,0.11733013164719863
D8B26_000064,0.0007119268610158282,0.0009954618650270812,0.0008137642408742153,0.342119585516525
D8B26_000065,0.0027646166018613486,0.0030146019783325465,0.002780009790067699,0.9047386960275995
D8B26_000066,0.0011140819964349413,0.0017045454545454534,0.0015782828282828283,0.3082191780821318
D8B26_000067,0.00394062674587977,0.0013619339462036092,0.003637906211435623,
D8B26_000068,0.002962258249833734,0.0009593653429269867,0.002390952229791875,0.575287170249321
D8B26_000069,0.0027630652300000887,0.001436047219179749,0.002339124770024841,1.060634903847648
D8B26_000070,0.0019315411164940945,0.0012159209651372667,0.0016735676886884706,
D8B26_000071,0.0034595670334501894,0.0018049914957131488,0.003158735117498004,0.5660267228005452
D8B26_000072,0.0023599708769551217,0.0,0.002071251035625518,0.23413762287752088
D8B26_000073,0.001906737699359845,0.0014609370541573932,0.0017825311942959,0.584620800204029
D8B26_000074,0.001068231690444477,0.00045946832950443083,0.0009459642078032394,
D8B26_000075,0.000923038511325038,0.00032066698733365396,0.0006238859180035651,
D8B26_000076,0.0001719986240110079,0.0009569377990430621,0.000615830747883569,inf
D8B26_000077,,0.0014293993401786485,,0.09863460451361224
D8B26_000078,0.0007690983501868604,0.0,0.00041231445849367786,0.4776478679503775
D8B26_000079,0.0024260067928190123,0.002223104406510521,0.002615416948835906,
D8B26_000080,0.0009223212517330133,0.000193939393939394,0.0005932263814616756,0.25353246492614273
D8B26_000081,0.0013416901462442296,0.0010948191593352886,0.0011615203266057157,0.6236116137292286
D8B26_000082,0.0011168622367112434,0.0004861448711716091,0.0007840277579189187,0.23698185204528266
D8B26_000083,0.0015744257005979136,0.0005855658029571073,0.0011086999578048171,0.3144111161958087
D8B26_000084,0.0011714980425869051,0.0010889032165627916,0.0010872176078684213,
D8B26_000085,,,,0.8964235419650226
D8B26_000086,0.004470196983565975,0.004169458714913262,0.004366544473496345,
D8B26_000087,0.000973545930640823,0.01878862307944512,0.00959922032375404,0.21806905106467567
D8B26_000088,0.002026843520327148,0.0018871348212665584,0.001996007984031936,0.8209643714041122
D8B26_000089,0.002617401396192804,0.002190697066320934,0.0024520789938566193,0.19580555745333492
