,product,alt_name,PFAM,GO_function,GO_process,GO_component,TransMembrane,SECRETED,antiSMASH,MEROPS,EggNog,COG,BUSCO,CAZy,SMCOG,CPSG,CiRS,WT.S/WT.H,p(WT.S/WT.H),Cp_S/Cp_H,p(Cp_S/Cp_H),Beyhan_exp,Whiston_exp
D8B26_000001,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_000002,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,
D8B26_000003,hypothetical protein,,,,,,,,,,ENOG410Q123,,,,,,,,,,,,
D8B26_000004,hypothetical protein,,,,,,,,,,ENOG410PMEB,,,,,CPSG_10000,CIMG_08132,1.43436285020397,0.00109895589465819,1.54765919508696,2.76168706500398e-05,spherule_upreg,spherule_upreg
D8B26_000006,hypothetical protein,,, GO:0005524 - ATP binding; GO:0004672 - protein kinase activity, GO:0006468 - protein phosphorylation,,,,,,ENOG41KOG1290,T,,,,CPSG_10011,CIMG_05660,0.375159137294004,0.0856185309263563,1.73969162178908,4.11539779340304e-07,no upreg,spherule_upreg
D8B26_000007,hypothetical protein,,,,,,,,,,ENOG410Q5CR,,,,,CPSG_10012,CIMG_05661,-0.49432526517477,0.682657011603115,-0.00728901175937624,0.985709885743364,no upreg,no upreg
D8B26_000008,hypothetical protein,,PF00075, GO:0003676 - nucleic acid binding; GO:0004523 - RNA-DNA hybrid ribonuclease activity,,,,,,,ENOG410PRFP,S,,,,CPSG_10013,,0.115841986988031,0.54966986599962,0.456661942360327,0.0126038445633628,no upreg,no upreg
D8B26_000009,hypothetical protein,,,,,,,,,,ENOG410PSXD,S,,,,CPSG_05704,CIMG_05655,0.825978503464563,0.0119833223768915,0.475352167524673,0.0133440154072366,no upreg,no upreg
D8B26_000010,hypothetical protein,,,,,,,,,,ENOG410PSXD,S,,,,CPSG_05705,,-0.489653002052825,0.067665782596655,0.305212955655906,0.12766511090223,no upreg,no upreg
D8B26_000011,hypothetical protein,,PF13391,,,,,,,,ENOG410PW1E,,,,,CPSG_05706,CIMG_05654,1.99179020175691,0.000195051292065296,1.26173365189146,0.000961907252983698,spherule_upreg,spherule_upreg
D8B26_000012,cis-Golgi t-SNARE syntaxin,SED5_1,PF05739;PF11416,, GO:0016192 - vesicle-mediated transport, GO:0016020 - membrane,1 (i301-320o),,,,ENOG410PGDE,U,382001at4751;10390at33183,,,CPSG_05707,CIMG_05653,1.09260935208782,0.00255973343579266,2.32847719406068,1.0384668293496e-06,spherule_upreg,spherule_upreg
D8B26_000013,regulator of ime2,RIM9,PF06687,,, GO:0005886 - plasma membrane,3 (n11-22c26/27o86-109i121-147o153-175i),SignalP(1-26),,,ENOG410PII9,U,6216at33183,,,CPSG_05708,CIMG_05652,-0.273381425283906,0.387341586342447,-2.10236011058568,2.67021420215581e-06,no upreg,hyphae_upreg
D8B26_000014,hypothetical protein,,,,,,,,,,ENOG410PI2Q,S,,,,CPSG_05709,CIMG_05651,2.31831023014275,0.0037928551008248,2.44706492152347,0.000260747069468794,spherule_upreg,spherule_upreg
D8B26_000015,hypothetical protein,,PF00291,,,,,,,,ENOG41KOG1252,E,,,,CPSG_05711,CIMG_05649,-4.76043787417874,0.0108071526768497,-2.01965285317199,9.97889639828035e-06,hyphae_upreg,hyphae_upreg
D8B26_000016,"Chitin synthase, class 2",CHS2_1,PF01644;PF08407;PF13632," GO:0004100 - chitin synthase activity; GO:0016758 - transferase activity, transferring hexosyl groups", GO:0006031 - chitin biosynthetic process,,8 (o534-553i574-597o617-638i650-672o700-721i733-751o828- 847i868-892o),,,,ENOG410PFUV,M,1172at33183,GT2_Chitin_synth_1,,CPSG_05716,CIMG_05647,-1.7061282137944,0.00152776178939622,-2.12205031857058,6.09275042208728e-07,hyphae_upreg,hyphae_upreg
D8B26_000017,NEDD8-conjugating protein ubc12,UBC12,PF00179,,,,,,,,ENOG410PN5Z,O,14421at33183,,,CPSG_05717,CIMG_05646,-0.242241248085038,0.219328425013375,0.139157902200809,0.380319658610676,no upreg,no upreg
D8B26_000018,hypothetical protein,,PF07524;PF10406, GO:0046982 - protein heterodimerization activity,, GO:0005669 - transcription factor TFIID complex,,,,,ENOG410PQEU,S,13435at33183,,,CPSG_05719,CIMG_05644,0.757870663131872,0.0307926496275685,-0.0882426771155771,0.628636652100206,no upreg,no upreg
D8B26_000019,hypothetical protein,,PF11093,,, GO:0042720 - mitochondrial inner membrane peptidase complex,,,,,ENOG410PTUR,S,16458at33183,,,CPSG_05720,CIMG_11587,0.911572375782895,0.00435130250321559,1.29387229213667,2.4739506820969e-05,no upreg,spherule_upreg
D8B26_000020,hypothetical protein,,,, GO:0000724 - double-strand break repair via homologous recombination; GO:0006281 - DNA repair, GO:0033063 - Rad51B-Rad51C-Rad51D-XRCC2 complex; GO:0005657 - replication fork,,,,,ENOG410PX0C,L,10556at33183,,,CPSG_05721,CIMG_05643,0.605203869811437,0.0948972191106414,1.06724147457158,0.00060855713129249,no upreg,spherule_upreg
D8B26_000021,hypothetical protein,,PF00291,,,,,,,,ENOG410PFC0,E,8427at33183,,,CPSG_05722,CIMG_05642,0.369711542154646,0.197488445226664,-1.57894292552335,0.000675586621641159,no upreg,hyphae_upreg
D8B26_000022,Bifunctional acetohydroxyacid reductoisomerase,ILV5,PF01450;PF07991, GO:0004455 - ketol-acid reductoisomerase activity; GO:0016491 - oxidoreductase activity, GO:0055114 - oxidation-reduction process; GO:0009082 - branched-chain amino acid biosynthetic process,,,,,,ENOG410PHY1,E,7836at33183,,,CPSG_05723,CIMG_05641,0.478416543060662,0.13118953347199,1.57302831903769,3.27529258113597e-05,no upreg,spherule_upreg
D8B26_000023,hypothetical protein,,PF00857;PF13532, GO:0003824 - catalytic activity; GO:0051213 - dioxygenase activity; GO:0016491 - oxidoreductase activity, GO:0006281 - DNA repair; GO:0035552 - oxidative single-stranded DNA demethylation; GO:0006307 - DNA dealkylation involved in DNA repair; GO:0055114 - oxidation-reduction process,,,,,,ENOG410PJ37,L,1920at33183,,,CPSG_05724,CIMG_05640,-0.969159003244299,0.00491088167571428,-0.542600235957464,0.170263801656908,no upreg,no upreg
D8B26_000024,hypothetical protein,,PF09463,,,,1 (o72-97i),,,,ENOG410PPS0,S,10640at33183,,,CPSG_05726,CIMG_05638,-1.13009779834323,0.001839680335493,-1.42515072824127,4.64054693804788e-05,hyphae_upreg,hyphae_upreg
D8B26_000025,hypothetical protein,,,,,,,,,,ENOG410PY8J,,15215at33183,,,CPSG_05727,CIMG_05637,-2.09205059842324,0.00132142641564004,-1.36254996829444,0.0167911259597477,hyphae_upreg,hyphae_upreg
D8B26_000026,hypothetical protein,,PF00623;PF04983;PF04997;PF04998;PF05000, GO:0003677 - DNA binding; GO:0003899 - DNA-directed 5'-3' RNA polymerase activity," GO:0006351 - transcription, DNA-templated",,,,,,ENOG410PH1P,K,228at33183,,,CPSG_05728,CIMG_05636,-0.293446524179241,0.206945016328175,-0.286732786044388,0.178888174497759,no upreg,no upreg
