chrom,start,stop,annotation,annotation_start
CP075068.1,116,292,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 8314 8489",DTX
CP075068.1,157,1136,"RXX-TRIM_Blc207_Cpos_C735-L-B65-Map1"" 1 1804",RXX
CP075068.1,993,1672,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 7773 8457",DTX
CP075068.1,1708,9391,"DTX-incomp-chim_Blc56_Cpos_C735-B-R1-Map20_reversed"" 2 7772",DTX
CP075068.1,8471,16405,"DTX-incomp-chim_Blc41_Cpos_C735-B-R3-Map16_reversed"" 883 8463",DTX
CP075068.1,15801,18118,"DTX-incomp_Blc54_Supercontig_3.5_19355_30059_DNA_TcMar_reversed"" 987 3304",DTX
CP075068.1,18120,18631,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 6342 6853",DTX
CP075068.1,18717,23935,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 1029 6289",DTX
CP075068.1,23934,27283,"DTX-incomp_Blc54_Supercontig_3.5_19355_30059_DNA_TcMar_reversed"" 3296 6649",DTX
CP075068.1,27422,27652,"DTX-incomp-chim_Blc39_Supercontig_3.3_4270292_4291141_DNA_hAT_reversed"" 20619 20849",DTX
CP075068.1,27627,28056,"RLX-incomp_Blc40_Cpos_C735-B-G1-Map20_reversed"" 6802 7231",RLX
CP075068.1,28058,28366,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 6341 6649",DTX
CP075068.1,28437,29607,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 5135 6340",DTX
CP075068.1,28438,33585,"DTX-incomp_Blc104_Supercontig_3.3_1517451_1523168_DNA_MULE-MuDR_reversed"" 577 5717",DTX
CP075068.1,37257,41518,"DMX-incomp-chim_Blc52_Supercontig_3.2_5147442_5158546_DNA_hAT"" 6053 10325",DMX
CP075068.1,41563,42342,"DMX-incomp-chim_Blc52_Supercontig_3.2_5147442_5158546_DNA_hAT"" 10326 11103",DMX
CP075068.1,42343,42474,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 5333 6289",DTX
CP075068.1,42560,43072,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 6342 6854",DTX
CP075068.1,48878,49389,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 6342 6853",DTX
CP075068.1,49475,54695,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 1029 6289",DTX
CP075068.1,54678,54750,"DTX-incomp_Blc176_Cpos_C735-B-R44-Map3_reversed"" 2538 2612",DTX
CP075068.1,54749,55046,"RLX-incomp_Blc80_Supercontig_3.3_4115140_4122694_DNA_hAT_reversed"" 7003 7300",RLX
CP075068.1,55047,55166,"DTX-incomp_Blc176_Cpos_C735-B-R44-Map3_reversed"" 2607 2726",DTX
CP075068.1,55251,55588,"RLX-incomp_Blc114_Supercontig_3.5_271249_276444_LTR_Gypsy_reversed"" 1 343",RLX
CP075068.1,55592,55697,"DTX-incomp_Blc4_Supercontig_3.3_3642456_3644773_DNA_TcMar_reversed"" 730 835",DTX
CP075068.1,55700,56542,"DTX-incomp_Blc4_Supercontig_3.3_516889_519233_DNA_TcMar"" 1497 2339",DTX
CP075068.1,56500,56553,"DTX-comp_Blc124_Supercontig_3.5_2951416_2956076_DNA_TcMar_reversed"" 2329 2378",DTX
CP075068.1,64117,64561,"RLX-incomp_Blc2_Cpos_C735-B-R6-Map20"" 10161 10576",RLX
CP075068.1,64562,65235,"DTX-incomp-chim_Blc45_Supercontig_3.5_3367237_3380922_DNA_TcMar"" 11700 12373",DTX
CP075068.1,65234,65399,"DTX-incomp-chim_Blc83_Supercontig_3.1_1112161_1119614_DNA_TcMar_reversed"" 2422 2587",DTX
CP075068.1,65400,67640,"RIX-comp_Blc9_Cpos_C735-B-R14-Map20"" 96 2338",RIX
CP075068.1,67636,67987,"RIX-incomp_Blc145_Cpos_C735-B-R4-Map5_reversed"" 3679 4029",RIX
CP075068.1,67989,68828,"DTX-incomp-chim_Blc116_Supercontig_3.1_483399_488504_DNA_hAT_reversed"" 1232 2048",DTX
CP075068.1,68828,70428,"RIX-comp_Blc9_Cpos_C735-B-R14-Map20"" 2321 3905",RIX
CP075068.1,70429,77184,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 334 7073",RLX
CP075068.1,77185,87758,"RLX-incomp_Blc2_Cpos_C735-B-R6-Map20"" 2 10576",RLX
CP075068.1,87759,88094,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 3 337",RLX
CP075068.1,88095,89705,"RIX-comp_Blc9_Cpos_C735-B-R14-Map20"" 3902 5520",RIX
CP075068.1,89707,90752,"RLX-incomp_Blc2_Supercontig_3.1_926717_937298_LTR_Gypsy_reversed"" 9119 10164",RLX
CP075068.1,90753,101326,"RLX-incomp_Blc2_Cpos_C735-B-R6-Map20"" 2 10578",RLX
CP075068.1,101327,104733,"RLX-incomp_Blc40_Cpos_C735-B-G1-Map20_reversed"" 7477 10890",RLX
CP075068.1,104734,110699,"RLX-incomp_Blc2_Cpos_C735-B-R6-Map20"" 1 10395",RLX
CP075068.1,110700,111638,"RLX-incomp_Blc3_Supercontig_3.1_65866_71175_LTR_Copia_reversed"" 2364 3285",RLX
CP075068.1,111639,112150,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 6342 6853",DTX
CP075068.1,112233,117453,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 1028 6289",DTX
CP075068.1,117447,118525,"RLX-incomp_Blc3_Supercontig_3.1_118207_123409_LTR_Gypsy"" 1191 2271",RLX
CP075068.1,118527,124502,"DTX-incomp-chim_Blc78_Supercontig_3.1_8274607_8282216_DNA_hAT_reversed"" 1731 7609",DTX
CP075068.1,124503,124876,"DTX-comp_Blc4_Cpos_C735-B-R21-Map20"" 2 375",DTX
CP075068.1,124827,124892,"DTX-incomp-chim_Blc120_Cpos_C735-L-B54-Map1_reversed"" 3146 3210",DTX
CP075068.1,124875,126634,"RLX-incomp_Blc2_Supercontig_3.1_963451_974024_LTR_Gypsy"" 2323 4082",RLX
CP075068.1,127119,127302,"DTX-incomp-chim_Blc69_Supercontig_3.1_2848002_2856807_DNA_TcMar_reversed"" 3047 3235",DTX
CP075068.1,127322,128202,"RIX-incomp_Blc145_Cpos_C735-B-R4-Map5_reversed"" 3149 4029",RIX
CP075068.1,127937,128239,"RLX-incomp_Blc95_Cpos_C735-B-R2-Map7_reversed"" 1413 1718",RLX
CP075068.1,128207,128283,"RLX-incomp_Blc11_Supercontig_3.5_111872_120310_LTR_Gypsy_reversed"" 2265 2341",RLX
CP075068.1,128281,138860,"RLX-incomp-chim_Blc2_Cpos_C735-B-G77-Map20_reversed"" 9 10592",RLX
CP075068.1,138857,141116,"RLX-comp_Blc17_Cpos_C735-B-R8-Map12"" 2 2271",RLX
CP075068.1,141117,141182,"RLX-incomp_Blc13_Cpos_C735-L-B43-Map1"" 1 57",RLX
CP075068.1,142940,143087,"RLX-incomp-chim_Blc38_Supercontig_3.3_902192_925079_DNA_TcMar"" 4026 4173",RLX
CP075068.1,146883,147937,"RLX-incomp_Blc3_Cpos_C735-L-B51-Map1"" 3 1078",RLX
CP075068.1,147931,148671,"RLX-incomp_Blc27_Supercontig_3.3_1806402_1813322_LTR_Gypsy_reversed"" 5866 6605",RLX
CP075068.1,148672,148971,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 6773 7072",RLX
CP075068.1,148966,149289,"RLX-comp-chim_Blc71_Cpos_C735-L-B36-Map1"" 6545 6869",RLX
CP075068.1,149285,150267,"DTX-incomp-chim_Blc41_Cpos_C735-B-R3-Map16_reversed"" 2962 3942",DTX
CP075068.1,150259,150740,"RLX-comp-chim_Blc71_Cpos_C735-L-B36-Map1"" 6396 6878",RLX
CP075068.1,150741,151412,"DTX-incomp_Blc5_Supercontig_3.4_2435608_2441434_DNA_hAT"" 5153 5824",DTX
CP075068.1,151407,152570,"DTX-incomp_Blc5_Supercontig_3.3_1368731_1374550_DNA_hAT_reversed"" 3727 4890",DTX
CP075068.1,152571,159527,"RLX-incomp_Blc13_Cpos_C735-L-B43-Map1"" 1 6957",RLX
CP075068.1,159529,160339,"DTX-incomp-chim_Blc72_Supercontig_3.1_269536_278228_DNA_hAT_reversed"" 4946 5756",DTX
CP075068.1,160370,163307,"DTX-incomp-chim_Blc72_Supercontig_3.1_269536_278228_DNA_hAT_reversed"" 5757 8691",DTX
CP075068.1,163308,168748,"RLX-incomp_Blc13_Cpos_C735-L-B43-Map1"" 1051 6490",RLX
CP075068.1,168745,169179,"RLX-incomp_Blc40_Cpos_C735-B-G1-Map20_reversed"" 6802 7236",RLX
CP075068.1,169182,170232,"RLX-incomp_Blc13_Cpos_C735-L-B43-Map1"" 1 1051",RLX
CP075068.1,170233,170699,"DTX-incomp-chim_Blc41_Cpos_C735-B-R3-Map16_reversed"" 2497 2965",DTX
CP075068.1,170700,181295,"RLX-incomp-chim_Blc2_Cpos_C735-B-G77-Map20_reversed"" 1 10599",RLX
CP075068.1,181296,183941,"RLX-incomp-chim_Blc46_Cpos_C735-L-B9-Map1"" 4338 6986",RLX
CP075068.1,183941,187804,"DTX-incomp-chim_Blc41_Cpos_C735-B-R3-Map16_reversed"" 3933 7797",DTX
CP075068.1,187816,188352,"RIX-comp_Blc9_Cpos_C735-B-R14-Map20"" 2 538",RIX
CP075068.1,188353,188863,"DTX-incomp_Blc5_Supercontig_3.2_1246446_1252277_DNA_hAT_reversed"" 1 511",DTX
CP075068.1,188941,194199,"DTX-comp-chim_Blc5_Supercontig_3.3_34249_41103_DNA_hAT_reversed"" 1025 6289",DTX
CP075068.1,194196,198555,"RIX-comp_Blc9_Cpos_C735-B-R14-Map20"" 531 4880",RIX
CP075068.1,198556,201141,"DTX-incomp-chim_Blc83_Supercontig_3.1_1112161_1119614_DNA_TcMar_reversed"" 3129 5683",DTX
CP075068.1,201145,203576,"RLX-incomp_Blc13_Cpos_C735-B-G62-Map4"" 4 2436",RLX
CP075068.1,203577,204508,"RIX-comp_Blc9_Cpos_C735-B-R14-Map20"" 4876 5809",RIX
CP075068.1,204505,206930,"RLX-incomp-chim_Blc2_Cpos_C735-B-G77-Map20_reversed"" 8165 10592",RLX
CP075068.1,206921,213501,"RLX-incomp_Blc40_Cpos_C735-B-G1-Map20_reversed"" 8664 15250",RLX
CP075068.1,213502,220457,"RLX-incomp_Blc13_Cpos_C735-B-G62-Map4"" 4 6960",RLX
CP075068.1,220458,221754,"RLX-incomp_Blc2_Cpos_C735-B-R6-Map20"" 2 1299",RLX
CP075068.1,221755,222937,"RIX-comp_Blc9_Cpos_C735-B-R14-Map20"" 5805 6992",RIX
CP075068.1,222934,228057,"RLX-incomp_Blc1_Supercontig_3.1_1021901_1028671_LTR_Gypsy"" 293 5418",RLX
CP075068.1,228006,228350,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 1 362",RLX
CP075068.1,228351,229704,"RLX-incomp-chim_Blc43_Cpos_C735-L-B5-Map1"" 9464 10818",RLX
CP075068.1,229705,231022,"RLX-incomp_Blc15_Supercontig_3.1_115379_118206_LTR_Copia"" 1510 2827",RLX
CP075068.1,239513,239598,"RLX-incomp_Blc107_Cpos_C735-L-B50-Map1_reversed"" 1 82",RLX
CP075068.1,251092,253965,"DTX-incomp-chim_Blc45_Supercontig_3.5_3367237_3380922_DNA_TcMar"" 2432 5305",DTX
CP075068.1,253912,253962,"RLX-incomp_Blc125_Cpos_C735-B-G3-Map20_reversed"" 1458 1513",RLX
CP075068.1,253963,258815,"RLX-incomp_Blc2_Supercontig_3.1_926717_937298_LTR_Gypsy_reversed"" 5727 10580",RLX
CP075068.1,258819,260471,"RLX-incomp_Blc2_Cpos_C735-B-R6-Map20"" 4014 5653",RLX
CP075068.1,260472,266935,"RLX-incomp_Blc93_Cpos_C735-L-B46-Map1_reversed"" 3 6467",RLX
CP075068.1,266936,270566,"RLX-incomp_Blc2_Cpos_C735-B-R6-Map20"" 385 4007",RLX
CP075068.1,270567,277636,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 3 7072",RLX
CP075068.1,277637,278022,"RLX-incomp_Blc40_Cpos_C735-B-G1-Map20_reversed"" 6797 7182",RLX
CP075068.1,278018,278955,"RLX-incomp_Blc3_Supercontig_3.1_112557_117378_LTR_Gypsy"" 3213 4150",RLX
CP075068.1,278954,286024,"RLX-incomp_Blc42_Cpos_C735-L-B4-Map1"" 7127 14195",RLX
CP075068.1,286024,287529,"DTX-incomp-chim_Blc45_Supercontig_3.5_3367237_3380922_DNA_TcMar"" 1 1508",DTX
CP075068.1,445538,445603,"RIX-incomp_Blc204_Cpos_C735-B-G23-Map20"" 1792 1860",RIX
CP075068.1,445555,445623,"DTX-incomp-chim_Blc74_Cpos_C735-B-G78-Map6"" 6861 6937",DTX
CP075068.1,498750,499857,"DTX-incomp_Blc248_Supercontig_3.4_3670465_3671215_DNA_TcMar"" 1 1019",DTX
CP075068.1,508194,508265,"RLX-incomp_Blc169_Supercontig_3.2_627087_630081_LTR_Copia_reversed"" 2794 2857",RLX
CP075068.1,508335,508422,"RLX-comp_Blc7_Cpos_C735-L-B48-Map1"" 301 387",RLX
CP075068.1,529785,530156,"RLX-comp_Blc82_Cpos_C735-L-B37-Map1_reversed"" 6445 6815",RLX
CP075068.1,552043,552685,"DTX-comp_Blc4_Cpos_C735-B-R21-Map20"" 2 644",DTX
CP075068.1,552625,552699,"DTX-comp_Blc124_Supercontig_3.5_2951416_2956076_DNA_TcMar_reversed"" 2284 2348",DTX
CP075068.1,554065,555716,"DTX-comp_Blc4_Cpos_C735-B-R21-Map20"" 652 2307",DTX
CP075068.1,555695,555727,"DTX-comp_Blc115_Supercontig_3.5_740218_745388_DNA_TcMar_reversed"" 2728 2760",DTX
CP075068.1,576149,576201,"RXX-LARD_Blc65_Cpos_C735-B-R77-Map3"" 4530 4582",RXX
CP075068.1,578938,579225,"RLX-incomp-chim_Blc109_Supercontig_3.5_1600606_1605982_LTR_Gypsy"" 2257 2553",RLX
CP075068.1,715156,715780,"DTX-incomp_Blc113_Supercontig_3.4_2361751_2367018_DNA_TcMar_reversed"" 4624 5267",DTX
CP075068.1,723542,723664,"DXX-MITE_Blc36_Cpos_C735-B-R64-Map5"" 274 391",DXX
CP075068.1,723649,723712,"DTX-incomp-chim_Blc63_Supercontig_3.2_1281305_1290824_DNA_TcMar_reversed"" 980 1043",DTX
CP075068.1,723775,724044,"RLX-incomp_Blc7_Supercontig_3.4_1671372_1676836_LTR_Copia_reversed"" 1 271",RLX
CP075068.1,724045,724339,"RLX-comp_Blc1_Cpos_C735-B-G68-Map6_reversed"" 2 299",RLX
CP075068.1,724332,724390,"RLX-incomp_Blc7_Supercontig_3.5_3258959_3264421_LTR_Copia_reversed"" 258 317",RLX
CP075068.1,724391,724478,"RLX-incomp_Blc42_Cpos_C735-L-B4-Map1"" 4496 4591",RLX
CP075068.1,724454,724887,"RLX-incomp_Blc249_Cpos_C735-B-G93-Map3"" 161 585",RLX
CP075068.1,724887,725328,"RLX-incomp_Blc6_Supercontig_3.2_2280391_2291023_LTR_Gypsy"" 1 429",RLX
CP075068.1,725336,725411,"DTX-comp-chim_Blc182_Supercontig_3.1_4893304_4895932_DNA_TcMar"" 2217 2293",DTX
CP075068.1,725404,725911,"RIX-incomp_Blc9_Cpos_C735-B-R58-Map20"" 8 517",RIX
CP075068.1,725926,726036,"RLX-incomp_Blc114_Supercontig_3.5_271249_276444_LTR_Gypsy_reversed"" 1923 2028",RLX
CP075068.1,729425,729630,"RLX-incomp_Blc7_Supercontig_3.5_3258959_3264421_LTR_Copia_reversed"" 1 200",RLX
CP075068.1,729695,729762,"DTX-incomp-chim_Blc63_Supercontig_3.2_1281305_1290824_DNA_TcMar_reversed"" 978 1045",DTX
CP075068.1,729759,729882,"DXX-MITE_Blc36_Cpos_C735-B-R64-Map5"" 266 405",DXX
CP075068.1,729883,729913,"DXX-MITE_Blc36_Cpos_C735-B-G91-Map3"" 1 167",DXX
CP075068.1,793045,793136,"RLX-incomp-chim_Blc109_Supercontig_3.5_1600606_1605982_LTR_Gypsy"" 1 91",RLX
CP075068.1,793190,793219,"RLX-incomp_Blc107_Cpos_C735-L-B50-Map1_reversed"" 2 31",RLX
CP075068.1,797012,797062,"DYX-incomp-chim_Blc47_Supercontig_3.1_6563877_6576065_DNA_hAT"" 5862 5914",DYX
CP075068.1,798489,798553,"RLX-incomp-chim_Blc38_Supercontig_3.3_902192_925079_DNA_TcMar"" 3445 3510",RLX
CP075068.1,806450,806514,"DTX-incomp-chim_Blc63_Supercontig_3.2_1281305_1290824_DNA_TcMar_reversed"" 981 1045",DTX
CP075068.1,806514,806528,"DXX-MITE_Blc36_Cpos_C735-B-R64-Map5"" 4 138",DXX
CP075068.1,806529,806648,"DXX-MITE_Blc36_Cpos_C735-B-G91-Map3"" 309 428",DXX
CP075068.1,902373,902735,"DTX-incomp_Blc239_Supercontig_3.2_3315520_3316529_DNA_TcMar"" 3 317",DTX
